id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1962,Amrita Kumbher Sandhaney,0,,1982,1982-10-22,Dilip Roy,Bengali,0,"Aparna Sen,Bhanu Bannerjee,Sumitra Mukherjee,Dipankar Dey,Anup Kumar,George Baker,Sanghamitra Bandyopadhyay,Shiben Bandyopadhyay,Satya Banerjee,Samit Bhanja,Premangshu Bose,Shaymali Chakraborty,Lily Chakravarty,Biplab Chatterjee,Subhendu Chatterjee",http://www.imdb.com/title/tt1587741/?ref_=adv_li_tt
1963,Amritamgamaya,0,Drama,1987,,T. Hariharan,Malayalam,0,"Mohanlal,Captain Raju,Geetha,Parvathi,Devan,Thilakan,Rajyalakshmi,Sukumari,Pappu,Kamala Kamesh,Vineeth,Johny,Karamana Janardanan Nair,Babu Namboothiri,Kunjandi",http://www.imdb.com/title/tt0229986/?ref_=adv_li_tt
1964,Amrithadhare,0,Drama,2005,2005-10-07,Nagathihalli Chandrashekar,Kannada,0,"Sameer,Ramya,Amitabh Bachchan",http://www.imdb.com/title/tt0889168/?ref_=adv_li_tt
1965,Amru Hindustan,0,,1928,,C.H. Shah,,0,,http://www.imdb.com/title/tt0390840/?ref_=adv_li_tt
1966,Amrudha Vahini,0,,1976,,Sasikumar,Malayalam,0,"Prem Nazir,Jayan,Adoor Bhasi,Thikkurisi Sukumaran Nair,Sharada",http://www.imdb.com/title/tt0280423/?ref_=adv_li_tt
1967,Amruta,0,Romance,1999,1999-01-01,Usman Baig,Hindi,0,"Chandrashekhar,Sudhir Dalvi,Gulshan Grover,Saeed Jaffrey,Bharat Kapoor,Alok Nath,Sandhu Raj",http://www.imdb.com/title/tt5255932/?ref_=adv_li_tt
1968,Amrutha Chumbanam,0,,1979,,Venu,Malayalam,0,,http://www.imdb.com/title/tt0331841/?ref_=adv_li_tt
1969,Amrutha Geetham,0,,1982,,Baby,Malayalam,0,"Mammootty,Sukumari",http://www.imdb.com/title/tt0252229/?ref_=adv_li_tt
1970,Amrutha Ghalige,0,,1984,,S.R. Puttana Kanagal,Kannada,0,"Sridhar,Ramakrishna,Padma Vaasanthi",http://www.imdb.com/title/tt0231135/?ref_=adv_li_tt
1971,Amrutha Vani,0,Romance,2007,2007,Rajashekar,Kannada,0,"Doddanna,Sadhu Kokila,Naveen Krishna,Kutti Radhika,Ajay Rao",http://www.imdb.com/title/tt4505356/?ref_=adv_li_tt
