id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
22,A Gun & a Ring,105,"Crime, Drama, War",2013,2013-06-19,Lenin M. Sivam,Tamil,0,"Kanthan Annalingam,Komeswaran Annalingam,Shelly Antony,Ruben Avila Aguilar,Jon Berrie,Shonna Brown,Kanthavel Denesh,Rob Duckworth,David Brandon George,Alyson Gough,Michael Johnson,Emdy Jones,Gangatharan Kandasamy,Thenuka Kantharajah,Gugaruban Kashiyanthan",http://www.imdb.com/title/tt2748544/?ref_=adv_li_tt
23,Kannathil Muthamittal,123,"Drama, War",2002,2002-02-14,Mani Ratnam,Tamil,0,"Madhavan,Simran,P.S. Keerthana,Nandita Das,Prakash Raj,J.D. Chakravarthi,Delhi Kumar,Pasupathy,Bala Singh,Master Suraj,Master Kethan",http://www.imdb.com/title/tt0312859/?ref_=adv_li_tt
24,A Yellow Bird,112,Drama,2016,2016-12-08,K Rajagopal,Tamil,0,"Seema Biswas,Indra Chandran,Lu Huang,Sivakumar Palakrishnan,Nithiyia Rao,Udaya Soundari",http://www.imdb.com/title/tt5709164/?ref_=adv_li_tt
25,Aaaah,138,"Adventure, Horror, Thriller",2014,2014-11-28,Haresh Narayan,Tamil,0,"Gokulnath,Bobby Simha,Meghna,Bala Saravanan,Srijith P.S.,Ashokan,S.S. Thalabathi,Monisha,T. Ramesh,Iqbal,Elaya Prasad,Priya,Hussain Jamal,Gowri Shankar,Nori",http://www.imdb.com/title/tt3189026/?ref_=adv_li_tt
26,Aacharya,0,Drama,2006,2006,Ravi,Tamil,20000000,Nassar,http://www.imdb.com/title/tt2856450/?ref_=adv_li_tt
27,Aadama Jaichomada,0,Comedy,2014,2014-09-19,Badri,Tamil,0,"Karunakaran,Vijayalakshmi Agathiyan,Bobby Simha,Balaji,K.S. Ravikumar,Radha Ravi,Aadukalam Naren,Chetan",http://www.imdb.com/title/tt3982422/?ref_=adv_li_tt
28,Aadhalal Kadhal Seiveer,106,Romance,2013,2013-08-15,Suseenthiran,Tamil,0,"Santhosh Ramesh,Manisha Yadav,Poornima Jayaram,V. Jayaprakash,Arjunan,Tulasi,Ramnath Shetty,Durga,Archana Raja,Srinidhi Vasudevan,Anburaj,Yuvan Shankar Raja,Ezhil Durai",http://www.imdb.com/title/tt2419576/?ref_=adv_li_tt
30,Aadhi Bhagavan,157,Action,2013,2013-02-22,Ameer Sultan,Tamil,0,"Jeyam Ravi,Neetu Chandra,Sudha Chandran,Saiju Kurup,Karuna,Babu Antony,Ameer Sultan,Sakshi Shivanand,Manel Soler,Gigi Velicitat",http://www.imdb.com/title/tt1671446/?ref_=adv_li_tt
31,Aadi Viradham,0,,1991,,Ramanarayanan,Tamil,0,,http://www.imdb.com/title/tt0402737/?ref_=adv_li_tt
32,Aadu Paambe,0,Drama,1979,,,Tamil,0,,http://www.imdb.com/title/tt2710208/?ref_=adv_li_tt
33,Aadu Puli,0,Action,2011,2011-02-18,,Tamil,60000000,"Aadhi,Prabhu",http://www.imdb.com/title/tt2856600/?ref_=adv_li_tt
34,Aadu Puli Atham,0,"Action, Drama, Thriller",1977,,S.P. Muthuraman,Tamil,0,"Kamal Haasan,Rajinikanth,Sridevi",http://www.imdb.com/title/tt0402738/?ref_=adv_li_tt
35,Aadukalam,160,"Action, Drama, Romance",2011,2011-01-14,Vetrimaaran,Tamil,200000000,"Dhanush,Tapsee Pannu,Jayabalan,Kishore Kumar G.,Aadukalam Naren,V. Jayaprakash,Meenal,Murugadass,Alwa Vasu,Sentrayan,Periya Karuppu Thevar",http://www.imdb.com/title/tt1821317/?ref_=adv_li_tt
36,Aadum Koothu,106,Drama,2006,2006-12,T.V. Chandran,Tamil,0,"Navya Nair,Cheran,Prakash Raj,Akil Kumar,Seeman,Aachi Manorama",http://www.imdb.com/title/tt2575568/?ref_=adv_li_tt
37,Aadupuliyattam,145,Horror,2016,2016-05-20,Kannan Thamarakkulam,Malayalam,0,"Jayaram,Ramya Krishnan,Om Puri,Akshara Kishor,Sheelu Abraham,Pradeep Kottayam,Valsala Menon,Veena Nair,Saju Navodaya,Ramesh Pisharody,Sampath Raj,Siddique,S.P. Sreekumar,Antony Thekkek",http://www.imdb.com/title/tt5326230/?ref_=adv_li_tt
38,Aagaaya Gangai,0,,1982,,Manobala,Tamil,0,"Karthik,Suhasini",http://www.imdb.com/title/tt0275172/?ref_=adv_li_tt
39,Aagaayam,0,Musical,2000,,,Tamil,0,,http://www.imdb.com/title/tt0275173/?ref_=adv_li_tt
40,Aagam,115,,2016,,V. Vijay Anand Sriram,English,0,"Arjun,Deekshitha,Dheena,Hari Dinesh,Irfan,Jayaprakash,Riyaz Khan,Y.G. Mahendran,Balaji Mohan,Aliona Munteanu,Ravi Raja,Sri Ranjani",http://www.imdb.com/title/tt5653740/?ref_=adv_li_tt
41,Aaha Kalyanam,142,"Comedy, Romance",2014,2014-02-21,Gokul Krishna,Tamil,0,"Nani,Vaani Kapoor,Badava Gopi,Karthik Nagarajan,Sriram,Simran",http://www.imdb.com/title/tt2995992/?ref_=adv_li_tt
42,Aahaa,0,Drama,1997,1997-10-30,Suresh Krishna,Tamil,0,"Bhanupriya,Delhi Ganesh,Raghuvaran,Vijayakumar",http://www.imdb.com/title/tt1117960/?ref_=adv_li_tt
43,Aai,162,Action,2004,2004-12-17,Venkatesh,Tamil,0,"Sarath Kumar,Namitha,Vadivelu",http://www.imdb.com/title/tt2359640/?ref_=adv_li_tt
44,Aaina,150,Drama,1977,1977-02-28,K. Balachander,Hindi,0,"Mumtaz,Rajesh Khanna,A.K. Hangal,Nirupa Roy,Lalita Pawar,Manmohan Krishna,Adil Amaan,Rita Bhaduri,Jayasudha,Anjum Savera,Vandana Rane,Yasmin,Seema,Kalpana,Ratan Chopra",http://www.imdb.com/title/tt0154178/?ref_=adv_li_tt
45,Aakhri Sangam,0,"Action, Romance",1990,1990-07-31,,Hindi,0,"Nirosha,Aurn Pandian,Ramki,Sasikala,Senthil,Srividya",http://www.imdb.com/title/tt0482677/?ref_=adv_li_tt
46,Aal,111,Thriller,2014,2014-09-19,Ananda Krishnan,Tamil,0,"Vidharth,Hardika Shetty",http://www.imdb.com/title/tt3646288/?ref_=adv_li_tt
47,Aalappiranthavan,0,,1987,,,Tamil,0,,http://www.imdb.com/title/tt0275174/?ref_=adv_li_tt
48,Aalavandhan,178,Thriller,2001,2001-11-16,Suresh Krishna,Tamil,0,"Kamal Haasan,Raveena Tandon,Manisha Koirala,Shri Vallabh Vyas,Milind Gunaji,Kitu Gidwani,Anuradha Hasan,Major Ravi,Yashpal Sharma",http://www.imdb.com/title/tt0294264/?ref_=adv_li_tt
49,Aalayam,169,Drama,1967,1967,Mahalingam,Tamil,0,"Gopu,Baby Mahalakshmi,Aachi Manorama,Nagesh,P.K. Saraswathi,Srikanth,Major Sundarrajan",http://www.imdb.com/title/tt0443835/?ref_=adv_li_tt
50,Aalukku Oru Veedu,0,Drama,1960,,,Tamil,0,,http://www.imdb.com/title/tt2710210/?ref_=adv_li_tt
51,Aalwar,152,Action,2007,2007-01-12,Chella,Tamil,300000,"Ajith Kumar,Asin,Vivek,Aachi Manorama,Geetha,Keerthi Chawla,Lal,Aditya Srivastava,Vincent Ashokan,Sathyan",http://www.imdb.com/title/tt1810522/?ref_=adv_li_tt
52,Aambala,146,"Action, Comedy",2015,2015-01-15,Sundar C.,Tamil,0,"Vishal,Hansika Motwani,Prabhu,Vaibhav Reddy,Santhanam,Sathish,Madhurima,Madhavi Latha,Ramya Krishnan,Kiran Rathod,Aishwarya,Sriman,Tulasi,Pradeep Singh Rawat,Rajiv Pillai",http://www.imdb.com/title/tt4312676/?ref_=adv_li_tt
53,Aan Paavam,0,,1985,,R. Pandiaraajan,Tamil,0,"Janagaraj,R. Pandiaraajan,Pandiyan,Seetha Parthiban,V.K. Ramasamy,Revathy,Poornam Vishwanathan",http://www.imdb.com/title/tt0275175/?ref_=adv_li_tt
54,Aana Valarthiyal Vanampadiyude Makan,0,,1971,,P. Subramaniam,Malayalam,0,Thikkurisi Sukumaran Nair,http://www.imdb.com/title/tt0258319/?ref_=adv_li_tt
55,Aana Valarthiyal Vanampady,0,,1959,,P. Subramaniam,Malayalam,0,Thikkurisi Sukumaran Nair,http://www.imdb.com/title/tt0252185/?ref_=adv_li_tt
56,Aanadha Gummi,0,,1983,,,Tamil,0,Goundamani,http://www.imdb.com/title/tt0275176/?ref_=adv_li_tt
57,Aananda Raagam,0,Musical,1982,,,Tamil,0,,http://www.imdb.com/title/tt0280390/?ref_=adv_li_tt
58,Aanandham,0,"Drama, Family",2001,2001-05-25,N. Linguswamy,Tamil,0,"Mammootty,Murali,Abbas,Devayani,Rambha,Sneha,Delhi Ganesh,Srividya,Vijayakumar",http://www.imdb.com/title/tt2229996/?ref_=adv_li_tt
59,Aanazhagan,0,,1995,,B. Thyagarajan,Tamil,0,"Prashanth,Vadivelu",http://www.imdb.com/title/tt0315741/?ref_=adv_li_tt
60,Aandavan Kattalai,151,Drama,2016,2016-09-23,M. Manikandan,Tamil,0,"Vijay Sethupathi,Ritika Singh,Pooja Devariya,Nassar,Ramesh Thilak",http://www.imdb.com/title/tt6076366/?ref_=adv_li_tt
61,Aanivaer,0,War,2006,2006-09-23,John Mahendran,Tamil,0,"Madhumitha,Nandha,Neelima Rani",http://www.imdb.com/title/tt2902334/?ref_=adv_li_tt
62,Aanmai Thavarael,135,"Crime, Romance, Thriller",2011,2011-06-03,Kuzhandai Velapan,Tamil,$1000000,"Dhruva,Subbu Panchu,Sampath Raj,Shruti,John Vijay,Anni Gill,Tharun Kshatriya,Lakshmi Ramakrishnan",http://www.imdb.com/title/tt1954220/?ref_=adv_li_tt
63,Aappirikaavil Appu,0,,1986,,,Tamil,0,,http://www.imdb.com/title/tt0318961/?ref_=adv_li_tt
