19,4 the People,0,"Action, Drama",2004,2004-02-19,Jayaraaj,Malayalam,0,"Arun,Bharath Srinivasan,Padmakumar,Arjun Bose,Narain,Nishal Chandra,Joy Chemmachel,Gopika,Nandu Poduval,Pranathi,Unni Sivapal,Vavachan",http://www.imdb.com/title/tt0400076/?ref_=adv_li_tt
20,5 Sundarikal,140,"Family, Romance",2013,2013-06-22,Aashiq Abu,Malayalam,30000000,"Baby Anikha,Jinu Ben,Shine Tom Chacko,Chetan,Fahadh Faasil,Chethan Jayalal,Jayasurya,Chemban Vinod Jose,Pradeep Kottayam,Kavya Madhavan,Reenu Mathews,Biju Menon,Nivin Pauly,Honey Rose,Dulquer Salmaan",http://www.imdb.com/title/tt3005920/?ref_=adv_li_tt
21,7 Letters,0,Drama,2015,2015-07-24,Junfeng Boo,English,3100000,"Faizal Abdullah,Aric Hidir Amin,Fatin Amira,Juliette Binoche,Nickson Cheng,David Chua,Nadiah m Din,J.A. Halim,Huifang Hong,Hamidah Jalil,Brien Lee,Rianne Lee,Poh Huat Lim,Lydia Look,Josmien Lum",http://www.imdb.com/title/tt4691166/?ref_=adv_li_tt
22,72 Model,174,"Comedy, Drama",2013,2013-04-26,Rajasenan,Malayalam,0,"Sabitha Anand,Bharat Chand,Sonia Das,Shivaji Guruvayoor,Anjali Hari,Vakkom Jayalal,Vanitha Krishnachandran,Madhu,Narayanan Nair,Nazreen Nazar,Nelson,Govind Padmasoorya,Balaji Sarma,Kalabhavan Shajohn,Sreejith Vijay",http://www.imdb.com/title/tt4242016/?ref_=adv_li_tt
23,7th Day,134,"Mystery, Thriller",2014,2014-04-11,Syamdhar,Malayalam,0,"Prithviraj Sukumaran,Janani Iyer,Vinay Forrt,Joy Mathew,Prem Praveen,Sunil Sukhada",http://www.imdb.com/title/tt3661988/?ref_=adv_li_tt
24,8th March,103,"Drama, Thriller",2015,2015-06-19,Albert Antoni,Malayalam,0,"Baburaj,Rahul Madhav,Vishnu,Ekatrina,Khanak",http://www.imdb.com/title/tt5059698/?ref_=adv_li_tt
25,9 KK Road,0,"Crime, Mystery, Thriller",2010,2010-08-26,Simon Kuruvilla,Malayalam,0,"Babu Antony,Mala Aravindan,Ayyappa Baiju,Trichur Elsi,P.C. George,Shamna Kasim,Kulappulli Leela,Suvarna Mathew,M.K. Muneer,C.K. Padmanabhan,Sadiq,Nishanth Sagar,Abu Salim,Shammi Thilakan,V.N. Vasavan",http://www.imdb.com/title/tt4118740/?ref_=adv_li_tt
26,916,125,,2012,2012-11-10,M. Mohanan,Malayalam,0,"Asif Ali,Jaffer Idukki,Mammukoya,Anoop Menon,Malavika Menon,Mounika,Mukesh,Nandu,Kottayam Nazeer,Meera Vasudevan,Thalaivasal Vijay",http://www.imdb.com/title/tt2779840/?ref_=adv_li_tt
27,@Andheri,116,"Action, Crime, Thriller",2014,2014-02-14,Biju Bhaskar Nair,Malayalam,0,"Augustine,Fathima Babu,Byon,Disney James,Bineesh Kodiyeri,Atul Kulkarni,Dinesh Lamba,Anil Murali,Aparna Nair,Nandu,Sreenivasan",http://www.imdb.com/title/tt4125324/?ref_=adv_li_tt
28,A Nimisham,0,,1977,,I.V. Sasi,Malayalam,0,Sridevi,http://www.imdb.com/title/tt0186790/?ref_=adv_li_tt
