id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
8060,Dream Lock,100,"Crime, Drama, Mystery",2016,,Vishal Raj,Hindi,0,"Nikkesha,Neetu Singh,Trisha Singh,Dhavall Pujara,Rahul Patil,Poonam A. Sirnaik,Daksha Shirodkar,Faisal Sayed,Som Nayak,Ramesh Menon,Beverly Gomes",http://www.imdb.com/title/tt5001454/?ref_=adv_li_tt
8061,DreamScope,7,"Animation, Adventure, Family",2016,,Anna Antonova,,0,"Mohit Tadakamalla,Edward Kantor,Victoria Kantor,Sabrina Rahmatov,Iryna Melnyk",http://www.imdb.com/title/tt5687360/?ref_=adv_li_tt
8062,Dreaming Lhasa,90,"Adventure, Drama, Mystery",2005,2008-07-27,Ritu Sarin,English,$350000,"Tenzin Chokyi Gyatso,Tenzin Jigme,Jampa Kalsang,Jampa Kalsang Tamang",http://www.imdb.com/title/tt0469686/?ref_=adv_li_tt
8064,Dreams,150,Drama,2002,2002,,Telugu,0,"Brahmanandam,Chandreyi Ghosh,Niraj",http://www.imdb.com/title/tt1575537/?ref_=adv_li_tt
8065,Dreams Hopes and Bollywood,95,"Drama, Music",2014,,Mohit Srivastava,Hindi,0,,http://www.imdb.com/title/tt3688740/?ref_=adv_li_tt
8066,Dreams... Do Come True,110,"Drama, Music, Musical",2009,,Aashish Chanana,Hindi,0,"Aashish Chanana,Ashish Chanana,Arzoo Govitrikar,Neha Pendse",http://www.imdb.com/title/tt1477705/?ref_=adv_li_tt
8067,Dreamz: The Movie,120,Drama,2013,2013-05,Sumana Mukherjee,Hindi,$1000000,"Serena Lorien,Melissa Scott Clark,Aiden Angeli,Debleena Sen,Anusha Jain,Natalia Janoszek,Giselle Grayson,Amruta Ghuge,Mansi Srivastava,Kara Ragland,Taruna Ummatt,Mohamed Ragaey,Darlene Moore,Bia Sousa Guedes,Kaartik Bhatia",http://www.imdb.com/title/tt2488232/?ref_=adv_li_tt
8068,Dredd,95,"Action, Sci-Fi",2012,2012-09-21,Pete Travis,English,$35000000,"Karl Urban,Rachel Wood,Andile Mngadi,Porteus Xandau,Jason Cope,Emma Breschi,Olivia Thirlby,Rakie Ayola,Lena Headey,Tamer Burjaq,Warrick Grier,Wood Harris,Shoki Mokgapa,Yohan Chun,Eden Knowles",http://www.imdb.com/title/tt1343727/?ref_=adv_li_tt
8069,Drishtantham,96,Drama,2006,2006-12,M.P. Sukumaran Nair,Malayalam,0,Jijoy Rajagopalan,http://www.imdb.com/title/tt2575478/?ref_=adv_li_tt
8070,Drishti,171,Drama,1990,1990-08-31,Govind Nihalani,Hindi,0,"Dimple Kapadia,Shekhar Kapur,Mita Vasisht,Vijay Kashyap,Irrfan Khan,Neena Gupta,Navneet Nishan,Tamara,Karim Vakil,Vinod Ranganathan,Keneth Desai,Tabassum Mansuri,Alka Shrivastav,Sumukhi,Ganesh Vernekar",http://www.imdb.com/title/tt0099467/?ref_=adv_li_tt
8071,Drishti,0,,1955,,Chitta Bose,Bengali,0,,http://www.imdb.com/title/tt0048017/?ref_=adv_li_tt
8072,Drishtidan,0,,1948,,Nitin Bose,Bengali,0,"Asitbaran,Sunanda Banerjee,Biman Bannerjee,Chhabi Biswas,Amita Bose,Krishna Chandra Dey,Ketaki Dutta,Uttam Kumar,Khagen Pathak,Prafullabala,Sandhya Rani",http://www.imdb.com/title/tt0156490/?ref_=adv_li_tt
8073,Drishya,154,"Drama, Family, Thriller",2014,2014-09-13,P. Vasu,Kannada,0,"V. Ravichandran,Navya Nair,Prabhu,Asha Sharath,Achyuth Kumar,Rohith Bhanuprakash,Suchendra Prasad,Srinivasa Murthy,Jai Jagadish,Swaroopini,Sadhu Kokila,Unnathi",http://www.imdb.com/title/tt3738624/?ref_=adv_li_tt
8074,Drishyaantar: Imaginary Line,0,Drama,2002,2002-01-01,,Hindi,0,,http://www.imdb.com/title/tt4198980/?ref_=adv_li_tt
8075,Drishyam,160,"Crime, Drama, Thriller",2013,2013-12-19,Jeethu Joseph,Malayalam,40000000,"Mohanlal,Meena,Ansiba,Esther,Kalabhavan Shajohn,Asha Sharath,Siddique,Roshan Basheer,Pradeep Chandran,Kalabhavan Haneef,Irshad,Koottickal Jayachandran,Kunchan,Neeraj Madhav,Aneesh Menon",http://www.imdb.com/title/tt3417422/?ref_=adv_li_tt
8076,Drishyam,163,"Crime, Drama, Mystery",2015,2015-07-31,Nishikant Kamat,Hindi,$9400000,"Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,Ishita Dutta,Mrunal Jadhav,Prasanna Ketkar,Yogesh Sonam,Prathamesh Parab,Rishabh Chaddha,Ashish Warang,Anil Nagarkar,Tarun Shukla,Smita Inamdar,Sanjay Bhatia",http://www.imdb.com/title/tt4430212/?ref_=adv_li_tt
8077,Driver Hanumanthu,0,,1980,,Ravi,,0,Vishnuvardhan,http://www.imdb.com/title/tt1380084/?ref_=adv_li_tt
8078,Driver Madyapichirunnu,0,,1979,,S.K. Subash,Malayalam,0,,http://www.imdb.com/title/tt0333368/?ref_=adv_li_tt
8079,Driver Ramudu,0,"Action, Drama",1979,,K. Raghavendra Rao,Telugu,0,"Taraka Rama Rao Nandamuri,Satyanarayana Kaikala,Sarathi,Mohan Babu,Jayamalini,Jayasudha,Kanchana,Rojaramani,Sridhar",http://www.imdb.com/title/tt0257571/?ref_=adv_li_tt
8080,Driving Miss Palmen,0,Drama,2000,2000-01-01,Lernert Engelberts,Hindi,0,"Tom Alter,Gaurang Arora,Mandira Bedi,Lillete Dubey,Jignesh Joshi,Suhaas Khandke,Barkha Madan,Akanksha Rajan,Anushka Rajan,Shashi Ranjan,Rohit Roy,Rudra Pratap Singh",http://www.imdb.com/title/tt5521868/?ref_=adv_li_tt
8081,Driving School,0,,2001,2001-05,A.T. Joy,Malayalam,0,Chandru,http://www.imdb.com/title/tt0319324/?ref_=adv_li_tt
8082,Drogam: Nadanthathu Enna?,87,Romance,2010,2010-06-11,Sameer,Tamil,3500000,"Kishore,Leena,Saso,Ramya Sen,Swathi Varma",http://www.imdb.com/title/tt2375382/?ref_=adv_li_tt
8083,Droh Kaal,162,"Drama, Thriller",1994,1994-08-31,Govind Nihalani,Hindi,0,"Om Puri,Naseeruddin Shah,Mita Vasisht,Annu Kapoor,Ashish Vidyarthi,Amrish Puri,Milind Gunaji,Vinit Kumar,Ila Arun,Joan David,Sadiya Siddiqui,Rajiv Dhingra,Achyut Potdar,Shri Vallabh Vyas,Shivkumar Subramaniam",http://www.imdb.com/title/tt0178392/?ref_=adv_li_tt
8084,Drohi,130,"Action, Crime, Romance",1992,1992-10-25,Gurdip Singh,Hindi,0,"Nagarjuna Akkineni,Urmila Matondkar,Danny Denzongpa,Salim Ghouse,Akash Khurana,Narra Venkateswara Rao,Rallapalli,Venkateswara Rao,Sunaiana,Horse Babu,Eswara Rao,Janaki,Ayesha Jalil,Lathika,A.R. Basha",http://www.imdb.com/title/tt0225566/?ref_=adv_li_tt
8085,Drohi,0,"Action, Drama",2010,2010-09-10,Sudha Kongara,Tamil,0,"Poonam Bajwa,Tanikella Bharani,S.P.B. Charan,Manobala,Rachana Maurya,Poorna,Rajeevan,Alphonse Roy,Srikanth,B. Thyagarajan,Pooja Umashankar,Vishnu Vishal",http://www.imdb.com/title/tt4318014/?ref_=adv_li_tt
8086,Drohi,0,,1970,,K. Bapaiah,Telugu,0,"Kongara Jaggaiah,Vanisri,Varalakshmi S.",http://www.imdb.com/title/tt0154430/?ref_=adv_li_tt
8087,Drohi,179,Drama,1948,,L.V. Prasad,Telugu,0,"Varalakshmi G.,Lakshmirajyam,K.S. Prakash Rao,Kutumba Rao Rallabandi,Prabhakara Rao Kona,L.V. Prasad,Siva Rao Kasturi,Venkumamba,Surabhi Balasaraswati",http://www.imdb.com/title/tt0255130/?ref_=adv_li_tt
8088,Dronacharya,0,Drama,2007,2007,,Bengali,0,"Dhritiman Chatterjee,Soumitra Chatterjee,Aparajita Ghosh Das",http://www.imdb.com/title/tt1857682/?ref_=adv_li_tt
8089,Drone,5,"Drama, Thriller",2016,,Jason Bourque,English,0,"Sean Bean,Tommy Europe",http://www.imdb.com/title/tt6091186/?ref_=adv_li_tt
8090,Drugs and Aids,0,Drama,1995,1995-01-01,,Hindi,0,,http://www.imdb.com/title/tt3760490/?ref_=adv_li_tt
8091,Drums of Maya,124,"Drama, Musical",2015,,,,0,,http://www.imdb.com/title/tt4602894/?ref_=adv_li_tt
8092,Drushyam,150,"Drama, Family, Thriller",2014,2014-07-11,Sripriya,Telugu,0,"Venkatesh Daggubati,Meena,Nadia Moidu,Venkat Siddareddy,Naresh,Venkateswara Rao Paruchuri,Kruthika,Annapoorna,Banerji,Roshan Basheer,Chalapathi Rao,Esther,Ravi Kale,Chaitanya Krishna,Jogi Naidu",http://www.imdb.com/title/tt3810932/?ref_=adv_li_tt
8093,Druva Natchathiram,0,,1993,,,Tamil,0,,http://www.imdb.com/title/tt0317386/?ref_=adv_li_tt
8094,Druvasangamam,135,Drama,1981,,Sasikumar,Malayalam,0,"Alummoodan,Manavalan Joseph,Mohanlal,Pappu,Shubha,Sukumaran,K.P. Ummer",http://www.imdb.com/title/tt0291876/?ref_=adv_li_tt
8095,Du-Janay,0,,1983,,Ardhendu Chatterjee,Hindi,0,,http://www.imdb.com/title/tt0361546/?ref_=adv_li_tt
8096,Du-janay,0,,1955,,Nirmal Dey,Bengali,0,"Sabita Basu,Tarakumar Bhaduri,Tulsi Chakraborty,Nripati Chatterjee,Vasant Choudhury,Arundhati Devi,Molina Devi,Nirmal Kumar,Suprava Mukherjee,Pahadi Sanyal,Bechu Singha",http://www.imdb.com/title/tt0213626/?ref_=adv_li_tt
8097,Dubai,0,"Action, Crime, Thriller",2001,,Joshi,Malayalam,0,"Mammootty,N.F. Varghese,Biju Menon,Anjala Zaveri,Cochin Hanifa,Janardanan,Nirmal Pandey,Nedumudi Venu,Preetha Vijaykumar,Urmila Unni,Mammukoya,Gopi,Shweta Menon,Remya Lakshmanan,Vijayakumar",http://www.imdb.com/title/tt0266486/?ref_=adv_li_tt
