idSite,servertimestamp,visitorId,sessionId,orderId,serverTimePretty,productId,productPrice
185,1433729548,f350cc2c66f99add,4441,797001284,Sun 7 Jun 18:12:27,458224668,198
185,1433729548,f350cc2c66f99add,4441,797001284,Sun 7 Jun 18:12:27,458224916,45
185,1433723557,36fa967133a49d9d,4425,796432452,Sun 7 Jun 16:31:17,458224892,258
185,1433723557,36fa967133a49d9d,4425,796432452,Sun 7 Jun 16:31:17,458224752,68
185,1433723557,36fa967133a49d9d,4425,796432452,Sun 7 Jun 16:31:17,458224912,35
185,1433723557,36fa967133a49d9d,4425,796439940,Sun 7 Jun 16:32:36,458224668,198
185,1433723557,36fa967133a49d9d,4425,796439940,Sun 7 Jun 16:32:36,458224916,45
185,1433738640,945ec9130d828282,4453,797701316,Sun 7 Jun 20:43:59,458224668,198
185,1433738640,945ec9130d828282,4453,797701316,Sun 7 Jun 20:43:59,458224916,45
185,1433726749,dcfcafd5f7656e71,4435,796741700,Sun 7 Jun 17:25:48,458224668,198
185,1433726749,dcfcafd5f7656e71,4435,796741700,Sun 7 Jun 17:25:48,458224916,45
185,1433736220,79c4825ffa9f7250,4451,797546500,Sun 7 Jun 20:03:40,458224668,198
185,1433736220,79c4825ffa9f7250,4451,797546500,Sun 7 Jun 20:03:40,458224916,45
185,1433568900,79c4825ffa9f7250,4379,783990020,Fri 5 Jun 21:24:25,458224696,235
185,1433568900,79c4825ffa9f7250,4379,783990020,Fri 5 Jun 21:24:25,458224752,68
185,1433568900,79c4825ffa9f7250,4379,783990020,Fri 5 Jun 21:24:25,458224872,218
185,1433568900,79c4825ffa9f7250,4379,784009284,Fri 5 Jun 21:30:14,458224708,200
185,1433568900,79c4825ffa9f7250,4379,784009284,Fri 5 Jun 21:30:14,458224804,128
185,1433568900,79c4825ffa9f7250,4379,784009284,Fri 5 Jun 21:30:14,458224828,98
185,1433568900,79c4825ffa9f7250,4379,784023876,Fri 5 Jun 21:35:00,458224736,110
185,1433568900,79c4825ffa9f7250,4379,784023876,Fri 5 Jun 21:35:00,458224776,118
185,1433568900,79c4825ffa9f7250,4379,784023876,Fri 5 Jun 21:35:00,458224908,25
185,1433724900,94b365b66f8992f4,4427,796430980,Sun 7 Jun 16:31:01,458224724,118
185,1433724900,94b365b66f8992f4,4427,796430980,Sun 7 Jun 16:31:01,458224872,218
185,1433724900,94b365b66f8992f4,4427,796430980,Sun 7 Jun 16:31:01,458224900,168
185,1433724900,94b365b66f8992f4,4427,796565828,Sun 7 Jun 16:54:59,458224668,198
185,1433724900,94b365b66f8992f4,4427,796565828,Sun 7 Jun 16:54:59,458224916,45
185,1433033445,94b365b66f8992f4,4267,733526724,Sat 30 May 16:37:05,458224736,110
185,1433033445,94b365b66f8992f4,4267,733526724,Sat 30 May 16:37:05,458224776,118
185,1433033445,94b365b66f8992f4,4267,733526724,Sat 30 May 16:37:05,458224908,25
185,1433033445,94b365b66f8992f4,4267,733550788,Sat 30 May 16:41:11,458224708,200
185,1433033445,94b365b66f8992f4,4267,733550788,Sat 30 May 16:41:11,458224804,128
185,1433033445,94b365b66f8992f4,4267,733550788,Sat 30 May 16:41:11,458224828,98
185,1433033445,94b365b66f8992f4,4267,733582276,Sat 30 May 16:47:20,458224712,128
185,1433033445,94b365b66f8992f4,4267,733599300,Sat 30 May 16:50:43,458224696,235
185,1433033445,94b365b66f8992f4,4267,733599300,Sat 30 May 16:50:43,458224752,68
185,1433033445,94b365b66f8992f4,4267,733599300,Sat 30 May 16:50:43,458224872,218
185,1433724328,a7d07cfcfd721373,4431,796512324,Sun 7 Jun 16:45:27,458224916,45
185,1433724328,a7d07cfcfd721373,4431,796512324,Sun 7 Jun 16:45:27,458224620,32
185,1433724328,a7d07cfcfd721373,4431,796512324,Sun 7 Jun 16:45:27,458224732,88
185,1433725512,e750653ca0da6919,4433,796621700,Sun 7 Jun 17:05:10,458224668,396
185,1433729340,cce75a90f9190cbf,4439,796980548,Sun 7 Jun 18:08:46,458224668,198
185,1433729340,cce75a90f9190cbf,4439,796980548,Sun 7 Jun 18:08:46,458224916,45
185,1433570021,cce75a90f9190cbf,4373,783953028,Fri 5 Jun 21:12:27,458224736,110
185,1433570021,cce75a90f9190cbf,4373,783953028,Fri 5 Jun 21:12:27,458224776,118
185,1433570021,cce75a90f9190cbf,4373,783953028,Fri 5 Jun 21:12:27,458224908,25
185,1433570021,cce75a90f9190cbf,4373,784034756,Fri 5 Jun 21:38:47,458224708,200
185,1433570021,cce75a90f9190cbf,4373,784034756,Fri 5 Jun 21:38:47,458224804,128
185,1433570021,cce75a90f9190cbf,4373,784034756,Fri 5 Jun 21:38:47,458224828,98
185,1433570021,cce75a90f9190cbf,4373,784076932,Fri 5 Jun 21:53:41,458224696,235
185,1433570021,cce75a90f9190cbf,4373,784076932,Fri 5 Jun 21:53:41,458224752,68
185,1433570021,cce75a90f9190cbf,4373,784076932,Fri 5 Jun 21:53:41,458224872,218
